tier	id	title	md_source	md_source_id	summary_len	cover_real	n_authors	n_genres	n_synonyms	n_gallery	n_volumes	n_chapters	n_readable	average_score	title_in_synonyms
A_CORRECT	2188	Barefoot Gen	anilist	33281	1321	t	1	8	14	0	10	54	0	78	t
D_NO_METADATA	3752	Bastard 2nd Heaven			0	f	1	10	13	55	3	55	0	75	f
A_CORRECT	1678	Bastard Dark Schneider	anilist	30611	493	t	1	5	5	82	28	72	0	70	f
A_CORRECT	1664	Bayonetta Manga	anilist	89812	80	t	1	10	2	1	1	2	0	69	f
A_CORRECT	2439	Beast Master	anilist	33633	579	t	1	5	6	3	6	55	0	71	t
A_CORRECT	2161	Beelzebub	anilist	40010	509	t	1	6	3	258	29	253	0	78	t
A_CORRECT	4641	Berserk	anilist	30002	1140	t	2	10	14	430	44	460	15	92	t
A_CORRECT	2233	Big Wing	anilist	179010	154	t	1	3	2	13	19	135	0		t
A_CORRECT	2532	Big X	anilist	52196	1179	t	1	4	4	0	4	21	0	70	t
C_GENERIC	2620	Bitch x Traitor	anilist	210279	40	t	1	3	3	411	1	7	0		t
A_CORRECT	4049	Bitter Virgin	anilist	31162	794	t	1	6	2	23	23	32	0	73	t
A_CORRECT	4818	Black Clover	anilist	86123	247	t	1	7	4	445	37	392	0	77	t
A_CORRECT	2607	Black Paradox	anilist	50375	262	t	1	8	5	0	1	8	0	70	t
A_CORRECT	4648	Blame!	anilist	30149	727	t	1	10	7	19	11	39	0	81	t
A_CORRECT	4638	Bleach	anilist	30012	860	t	1	6	7	744	75	781	756	79	t
A_CORRECT	1912	Blood Lad	anilist	51614	717	t	1	7	7	0	19	93	0	72	t
C_NO_SUMMARY	2164	Blood Link	anilist	92474	0	t	1	7	3	164	37	252	0	76	f
A_CORRECT	473	Blue Exorcist	anilist	43492	595	t	1	7	7	215	35	176	157	76	t
A_CORRECT	2147	Blue Flag	anilist	98334	433	t	1	5	5	8	23	54	0	80	t
A_CORRECT	2507	Blue Jean	anilist	209576	415	t	1	4	2	5	100	37	0		t
A_CORRECT	2382	Boarding School Juliet	anilist	86279	611	t	1	6	8	136	17	122	0	81	t
A_CORRECT	2295	Bobobo-bo Bo-bobo	anilist	31505	637	t	1	5	4	1	28	234	0	70	t
C_NO_SUMMARY	2255	Boku no Niina	anilist	210381	0	t	1	5	3	2	2	25	0	63	t
A_CORRECT	1716	Boku to Sensei	anilist	190305	784	t	1	5	25	2	19	25	0	64	t
A_CORRECT	2181	Bonbonzaka Koukou Engekibu	anilist	37446	404	t	1	4	2	0	12	142	0		t
A_CORRECT	3729	Break☆Cafe	anilist	47420	301	t	1	2	5	1	1	191	0	64	t
A_CORRECT	2512	Buddha	anilist	31111	1035	t	1	9	5	0	14	76	0	82	t
A_CORRECT	4342	Bungo Stray Dogs	anilist	85307	315	t	1	5	11	155	59	169	0	84	t
A_CORRECT	2619	Buster Keel	anilist	41027	772	t	1	7	2	0	12	48	0	58	f
A_CORRECT	1960	COSMOS	anilist	162799	619	t	1	6	4	0	62	558	0	72	t
